"age_group","gender","occupation","education","awareness","source","gardening_type","growing","feel_nutritional_gardening","reason_notinvolving","support_required","nutrition","environmental_climate","impact_health"
"18-45"," Female","student","College","Yes"," A"," Rooftop Gardening"," No"," Strongly yes"," A"," E"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Male","teaching","University","No"," A ,  D"," Rooftop Gardening"," No"," Strongly yes"," C"," B"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","teaching","College","No"," A"," Rooftop Gardening"," No"," Strongly yes"," C"," E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","Maybe"," C"," Kitchen Gardening"," Yes"," Strongly yes"," B"," C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","business","College","No"," A ,  B"," Rooftop Gardening"," Yes"," Somewhat yes"," B"," E"," No"," Yes"," Yes, somewhat"
" 18-45"," Female","student","School","Yes"," B "," Rooftop Gardening"," Yes"," Strongly yes"," B"," C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","housewife","College","Yes"," A"," No"," No"," Somewhat yes"," A"," C"," Yes"," No"," Yes, significantly"
" 18-45"," Female","student","College","Yes"," A ,  B"," No"," No"," Somewhat yes"," A"," C"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Female","student","College","Yes"," A"," No"," No"," Not at all"," C"," D"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","Maybe"," B "," Rooftop Gardening"," No"," Strongly yes"," D,  B"," A,  C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","business","University","Maybe"," B "," No"," No"," Somewhat yes"," A"," A"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","University","No"," A ,  B"," No"," No"," Somewhat yes"," A"," B"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","business","School","Yes"," B "," Rooftop Gardening"," Yes"," Strongly yes"," B"," D"," Yes","Maybe"," No noticeable impact"
" 18-45"," Male","student","College","Yes"," E"," Rooftop Gardening"," Yes"," Somewhat yes"," B"," B"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","student","School","Yes"," B "," No"," No"," Not at all"," D,  B"," A,  C"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","housewife","College","Maybe"," B "," Rooftop Gardening"," Yes"," Somewhat yes"," B"," A"," Yes"," Yes"," Yes, significantly"
" Under 18"," Female","teaching","College","No"," A"," Kitchen Gardening"," Yes"," Strongly yes"," E"," C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","No"," A"," Rooftop Gardening"," Yes"," Somewhat yes"," A"," C"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Female","student","College","Yes"," A"," Rooftop Gardening"," Yes"," Strongly yes"," A"," B"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","business","College","Yes"," B "," Kitchen Gardening"," Yes"," Somewhat yes"," B"," B"," No","Maybe"," Yes, significantly"
" 18-45"," Female","student","University","Yes"," A"," Rooftop Gardening"," No"," Strongly yes"," A"," A,  C"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","housewife","University","No"," A ,  B"," Rooftop Gardening"," Yes"," Somewhat yes"," D,  B"," A, C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","No"," C"," No"," No"," Not at all"," A,  C"," D"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","School","No"," A ,  B"," Rooftop Gardening"," Yes"," Strongly yes"," C"," D"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","Yes"," E"," Rooftop Gardening"," Yes"," Strongly yes"," A"," E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","Yes"," A"," Rooftop Gardening"," Yes"," Strongly yes"," B"," A"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Female","housewife","College","Yes"," B "," Rooftop Gardening"," Yes"," Strongly yes"," C"," B"," Yes"," No"," Yes, significantly"
" Under 18"," Female","business","College","Maybe"," A"," School Gardening"," Yes"," Somewhat yes"," B"," B"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Female","student","College","Yes"," A"," Rooftop Gardening"," Yes"," Strongly yes"," A"," A,  E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","service","College","Yes"," A"," Kitchen Gardening"," No"," Somewhat yes"," B"," C"," Yes"," Yes"," Yes, significantly"
" 45-65"," Male","service","School","Yes"," A ,  B"," Rooftop Gardening"," No"," Somewhat yes"," A,  C"," A,  E"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Female","student","College","No"," C"," Kitchen Gardening","Maybe"," Somewhat yes"," A,  C","A,  C,  E"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Female","service","College","No"," B "," No"," No"," Somewhat yes"," A"," E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","business","College","No"," B "," Kitchen Gardening"," Yes"," Strongly yes"," A"," C"," Yes"," Yes"," Yes, significantly"
" Under 18"," Male","student","College","No"," A ,  B"," No"," Yes"," Somewhat yes"," A,  C, D","A,  C,  E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","University","No"," C"," No"," Yes"," Somewhat yes"," B"," A"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Female","business","School","Yes"," C"," No"," No"," Somewhat yes"," C","A,  C,  E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","service","College","Maybe"," B "," Rooftop Gardening"," Yes"," Strongly yes"," E"," C"," No"," Yes"," No noticeable impact"
" 18-45"," Female","teaching","College","Maybe"," A"," Kitchen Gardening"," No"," Not at all"," C"," E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","housewife","College","Yes"," E"," No"," No"," Not at all"," A"," A"," No"," No"," No noticeable impact"
" 18-45"," Male","student","University","Maybe"," A"," Kitchen Gardening","Maybe"," Somewhat yes"," C"," A"," Yes"," Yes"," Yes, significantly"
" 45-65"," Male","student","College","Maybe"," A"," Rooftop Gardening"," No"," Strongly yes"," A,  C, D"," A,  E"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Female","service","College","Yes"," E"," Rooftop Gardening"," Yes"," Somewhat yes"," A,  C, D"," B"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","service","College","Yes"," A , B"," Rooftop Gardening"," Yes"," Strongly yes"," B"," A,  E"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Male","housewife","College","Yes"," C"," School Gardening","Maybe"," Somewhat yes"," E","A,  C,  E"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","student","College","Yes"," A"," School Gardening"," Yes"," Somewhat yes"," C"," B"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","student","School","Yes"," A ,  B"," Kitchen Gardening"," Yes"," Somewhat yes"," E"," A"," No"," Yes"," Yes, significantly"
" 18-45"," Female","service","College","No"," C"," Rooftop Gardening"," Yes"," Strongly yes"," B"," D"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","service","School","Yes"," A"," Rooftop Gardening"," Yes"," Strongly yes"," B"," B"," Yes"," No"," Yes, somewhat"
" 45-65"," Female","housewife","College","No"," A ,  B"," Kitchen Gardening","Maybe"," Somewhat yes"," A,  B,  E"," A,  E"," Yes"," Yes"," Yes, somewhat"
" Under 18"," Female","service","College","Maybe"," C"," Rooftop Gardening"," Yes"," Strongly yes"," B"," D"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","housewife","School","Yes"," E"," No"," No"," Not at all"," C"," A"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Male","student","College","No"," A ,  B"," Rooftop Gardening"," Yes"," Strongly yes"," B"," A"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Female","student","College","No"," A ,  B"," Kitchen Gardening"," Yes"," Somewhat yes"," A"," B"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Female","student","College","Maybe"," A"," Rooftop Gardening"," Yes"," Somewhat yes"," C"," A"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","student","College","Yes"," A ,  D"," Rooftop Gardening"," Yes"," Strongly yes"," A"," B"," Yes"," No"," Yes, significantly"
" 18-45"," Male","service","College","Yes"," B "," No"," No"," Not at all"," B"," A"," No"," Yes"," Yes, somewhat"
" 18-45"," Female","student","University","Maybe"," A ,  B"," School Gardening"," No"," Not at all"," D,  B"," B"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","University","Yes"," A ,  B"," Rooftop Gardening"," Yes"," Somewhat yes"," B"," E"," Yes","Maybe"," Yes, significantly"
" 45-65"," Female","teaching","School","Yes"," A"," No"," No"," Somewhat yes"," A"," D"," Yes"," Yes"," Yes, somewhat"
" 65 and above"," Female","housewife","University","No"," A ,  B"," Rooftop Gardening"," Yes"," Strongly yes"," B"," E"," Yes"," Yes"," Yes, somewhat"
" 45-65"," Male","business","College","Maybe"," A"," No"," No"," Somewhat yes"," A,  B,  E"," B"," Yes"," Yes"," Yes, somewhat"
" 65 and above"," Male","service","College","No"," A ,  B"," Rooftop Gardening"," Yes"," Strongly yes"," C","A,  C,  E"," Yes"," Yes"," Yes, significantly"
" 45-65"," Female","housewife","School","Maybe"," B "," Kitchen Gardening"," Yes"," Somewhat yes"," A,  B,  E"," A"," No"," Yes"," Yes, somewhat"
" 18-45"," Male","student","University","Yes"," C"," School Gardening"," Yes"," Not at all"," A"," D"," Yes","Maybe"," Yes, significantly"
" 45-65"," Male","business","College","Yes"," A"," No","Maybe"," Somewhat yes"," A,  B,  E"," A,  E"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Male","student","College","Yes"," A ,  B"," School Gardening"," No"," Not at all"," A"," A,  E"," No","Maybe"," Yes, significantly"
" 18-45"," Male","student","College","Maybe"," C"," Rooftop Gardening"," No"," Strongly yes"," E"," B"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","student","School","Yes"," A"," No"," No"," Somewhat yes"," B"," B"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Female","business","College","Maybe"," A"," Rooftop Gardening"," Yes"," Not at all"," B"," A,  E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","student","College","Maybe"," B "," Rooftop Gardening"," Yes"," Strongly yes"," C"," C"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","non working","University","Yes"," B "," Rooftop Gardening"," Yes"," Not at all"," A,  B, E"," B"," No","Maybe"," No noticeable impact"
" 45-65"," Female","housewife","School","No"," A ,  B"," Kitchen Gardening"," Yes"," Somewhat yes"," D,  B"," D"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Male","service","College","Yes"," B "," No"," No"," Somewhat yes"," A,  B,  E"," A,  C"," Yes","Maybe"," Yes, somewhat"
" 65 and above"," Male","non working","School","No"," B "," No"," No"," Somewhat yes"," Others"," E"," Yes","Maybe"," Yes, significantly"
" 45-65"," Male","service","College","Yes"," E"," Rooftop Gardening"," Yes"," Somewhat yes"," B"," E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","student","University","No"," E"," No"," No"," Somewhat yes"," A"," E"," No"," Yes"," No noticeable impact"
" 18-45"," Male","student","College","No"," B "," Kitchen Gardening"," Yes"," Somewhat yes"," D,  B"," A"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","student","University","Yes"," A ,  D"," No"," Yes"," Strongly yes"," A"," C"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Male","student","College","No"," B "," Kitchen Gardening"," Yes"," Strongly yes"," B"," A"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","University","No"," A ,  D"," No"," No"," Not at all"," D,  B"," A"," Yes"," Yes"," Yes, significantly"
" 18-45"," Female","student","College","Yes"," A ,  B"," No"," No"," Somewhat yes"," A,  B,  E"," B"," Yes","Maybe"," Yes, significantly"
" 18-45"," Female","teaching","College","Yes"," A"," Rooftop Gardening"," Yes"," Strongly yes"," B"," A"," Yes"," Yes"," Yes, significantly"
" 45-65"," Female","housewife","College","No"," C"," No"," Yes"," Somewhat yes"," B"," A,  E"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Male","teaching","School","Yes"," A ,  D"," No"," Yes"," Somewhat yes"," B"," C"," Yes"," Yes"," Yes, significantly"
" 45-65"," Female","housewife","School","Yes"," B "," Kitchen Gardening"," Yes"," Strongly yes"," A,  B,  E"," C"," Yes"," Yes"," Yes, significantly"
" 45-65"," Male","business","University","Yes"," A ,  B"," No"," No"," Somewhat yes"," A,  C, D","A,  C,  E"," Yes","Maybe"," Yes, somewhat"
" 18-45"," Male","non working","College","No"," A ,  B"," No"," No"," Somewhat yes"," D,  B"," A"," Yes"," Yes"," Yes, significantly"
" 45-65"," Female","housewife","University","Yes"," B "," Kitchen Gardening"," Yes"," Strongly yes"," A"," E"," Yes","Maybe"," Yes, significantly"
" Under 18"," Male","student","University","Yes"," C"," School Gardening"," Yes"," Strongly yes"," Others"," C"," Yes","Maybe"," Yes, significantly"
" 45-65"," Female","business","University","Yes"," A ,  D"," Rooftop Gardening"," Yes"," Strongly yes"," B"," A,  E"," Yes"," Yes"," Yes, significantly"
" 18-45"," Male","student","College","Yes"," A ,  D"," Rooftop Gardening"," No"," Somewhat yes"," B"," C"," Yes"," Yes"," Yes, somewhat"
" 18-45"," Female","teaching","College","Yes"," A"," Rooftop Gardening"," Yes"," Strongly yes"," B","A,  C,  E"," Yes"," Yes"," Yes, significantly"
" 45-65"," Male","service","College","Yes"," A ,  B"," Rooftop Gardening"," Yes"," Strongly yes"," A,  C, D"," A,  C"," Yes"," Yes"," Yes, significantly"
" 45-65"," Female","business","University","Yes"," A ,  D"," Rooftop Gardening"," Yes"," Strongly yes"," A,  C, D"," B"," Yes"," Yes"," Yes, significantly"
